key,name,city,state,country,lat,long,vip
LCK,Rickenbacker International,Columbus,OH,USA,39.81,-82.93,False
LCQ,Lake City Municipal,Lake City,FL,USA,30.18,-82.58,False
LDJ,Linden,Linden,NJ,USA,40.62,-74.24,False
LDM,Mason County,Ludington,MI,USA,43.96,-86.41,False
LEB,Lebanon Municipal,Lebanon,NH,USA,43.63,-72.30,False
LEE,Leesburg Regional,Leesburg,FL,USA,28.82,-81.81,False
LEM,Lemmon Municipal,Lemmon,SD,USA,45.92,-102.11,False
LEW,Auburn-Lewiston Municipal,Auburn-Lewiston,ME,USA,44.05,-70.28,False
LEX,Blue Grass,Lexington,KY,USA,38.04,-84.61,False
LFK,Lufkin-Angelina County,Lufkin,TX,USA,31.23,-94.75,False
LFT,Lafayette Regional,Lafayette,LA,USA,30.21,-91.99,False
LGA,LaGuardia,New York,NY,USA,40.78,-73.87,False
LGB,Long Beach (Daugherty ),Long Beach,CA,USA,33.82,-118.15,False
LGC,LaGrange-Callaway,Lagrange,GA,USA,33.01,-85.07,False
LGD,La Grande/Union County,La Grande,OR,USA,45.29,-118.01,False
LGU,Logan-Cache,Logan,UT,USA,41.79,-111.85,False
LHD,Lake Hood SPB,Anchorage,AK,USA,61.18,-149.97,False
LHM,Lincoln Regional,Lincoln,CA,USA,38.91,-121.35,False
LHQ,Fairfield County,Lancaster,OH,USA,39.76,-82.66,False
LHV,Wm T Piper Memorial,Lock Haven,PA,USA,41.14,-77.42,False
LHX,La Junta Muni,La Junta,CO,USA,38.05,-103.51,False
LHZ,Franklin County,Louisburg,NC,USA,36.02,-78.33,False
LIC,Limon Municipal,Limon,CO,USA,39.27,-103.67,False
LIH,Lihue,Lihue,HI,USA,21.98,-159.34,False
LIT,Adams,Little Rock,AR,USA,34.73,-92.22,False
LJF,Litchfield Municipal,Litchfield,MN,USA,45.10,-94.51,False
LKP,Lake Placid,Lake Placid,NY,USA,44.26,-73.96,False
LKR,Lancaster County,Lancaster,SC,USA,34.72,-80.85,False
LKU,Louisa County / Freeman,Louisa,VA,USA,38.01,-77.97,False
LKV,Lake County,Lakeview,OR,USA,42.16,-120.40,False
LLJ,Challis,Challis,ID,USA,44.52,-114.22,False
LLQ,Monticello Municipal,Monticello,AR,USA,33.64,-91.75,False
LLU,Lamar Municipal,Lamar,MO,USA,37.49,-94.31,False
LMS,Louisville-Winston County,Louisville,MS,USA,33.15,-89.06,False
LMT,Klamath Falls International,Klamath Falls,OR,USA,42.16,-121.73,False
LNA,Palm Beach County Park,Lantana,FL,USA,26.59,-80.09,False
LNC,Lancaster,Lancaster,TX,USA,32.58,-96.72,False
LND,Hunt,Lander,WY,USA,42.82,-108.73,False
LNK,Lincoln Municipal,Lincoln,NE,USA,40.85,-96.76,False
LNL,Kings Land O' Lakes,Land O' Lakes,WI,USA,46.15,-89.21,False
LNN,Lost Nation,Willoughby,OH,USA,41.68,-81.39,False
LNP,Lonesome Pine,Wise,VA,USA,36.99,-82.53,False
LNS,Lancaster,Lancaster,PA,USA,40.12,-76.30,False
LNY,Lanai,Lanai City,HI,USA,20.79,-156.95,False
LOL,Derby,Lovelock,NV,USA,40.07,-118.57,False
LOT,Lewis University,Chicago/Romeoville,IL,USA,41.61,-88.09,False
LOU,Bowman,Louisville,KY,USA,38.23,-85.66,False
LOZ,London-Corbin  Magee,London,KY,USA,37.09,-84.08,False
LPC,Lompoc,Lompoc,CA,USA,34.67,-120.47,False
LPR,Lorain Co Regional,Lorain/Elyria,OH,USA,41.34,-82.18,False
LQK,Pickens County,Pickens,SC,USA,34.81,-82.70,False
LQR,Larned-Pawnee County,Larned,KS,USA,38.21,-99.09,False
LRD,Laredo International,Laredo,TX,USA,27.54,-99.46,False
